agent_type,y_param,y_value,regen_rate,n_trials,collapse_prob,mean_collapse_time
mixed,max_harvest_per_step,2.0,0.05,30,1.0,10.0
mixed,max_harvest_per_step,2.0,0.1,30,1.0,11.0
mixed,max_harvest_per_step,2.0,0.15,30,1.0,11.0
mixed,max_harvest_per_step,2.0,0.2,30,1.0,12.0
mixed,max_harvest_per_step,2.0,0.25,30,1.0,13.0
mixed,max_harvest_per_step,2.0,0.3,30,1.0,14.0
mixed,max_harvest_per_step,2.0,0.35,30,1.0,16.0
mixed,max_harvest_per_step,2.0,0.4,30,1.0,18.0
mixed,max_harvest_per_step,2.0,0.45,30,1.0,21.0
mixed,max_harvest_per_step,2.0,0.5,30,1.0,26.0
mixed,max_harvest_per_step,2.0,0.55,30,1.0,37.0
mixed,max_harvest_per_step,2.0,0.6,30,1.0,108.0
mixed,max_harvest_per_step,2.0,0.65,30,0.0,
mixed,max_harvest_per_step,2.0,0.7,30,0.0,
mixed,max_harvest_per_step,2.0,0.75,30,0.0,
mixed,max_harvest_per_step,2.0,0.8,30,0.0,
mixed,max_harvest_per_step,4.0,0.05,30,1.0,5.0
mixed,max_harvest_per_step,4.0,0.1,30,1.0,5.0
mixed,max_harvest_per_step,4.0,0.15,30,1.0,5.0
mixed,max_harvest_per_step,4.0,0.2,30,1.0,5.0
mixed,max_harvest_per_step,4.0,0.25,30,1.0,5.0
mixed,max_harvest_per_step,4.0,0.3,30,1.0,5.0
mixed,max_harvest_per_step,4.0,0.35,30,1.0,6.0
mixed,max_harvest_per_step,4.0,0.4,30,1.0,6.0
mixed,max_harvest_per_step,4.0,0.45,30,1.0,6.0
mixed,max_harvest_per_step,4.0,0.5,30,1.0,6.0
mixed,max_harvest_per_step,4.0,0.55,30,1.0,7.0
mixed,max_harvest_per_step,4.0,0.6,30,1.0,7.0
mixed,max_harvest_per_step,4.0,0.65,30,1.0,7.0
mixed,max_harvest_per_step,4.0,0.7,30,1.0,8.0
mixed,max_harvest_per_step,4.0,0.75,30,1.0,9.0
mixed,max_harvest_per_step,4.0,0.8,30,1.0,10.0
mixed,max_harvest_per_step,6.0,0.05,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.1,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.15,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.2,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.25,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.3,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.35,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.4,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.45,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.5,30,1.0,3.0
mixed,max_harvest_per_step,6.0,0.55,30,1.0,4.0
mixed,max_harvest_per_step,6.0,0.6,30,1.0,4.0
mixed,max_harvest_per_step,6.0,0.65,30,1.0,4.0
mixed,max_harvest_per_step,6.0,0.7,30,1.0,4.0
mixed,max_harvest_per_step,6.0,0.75,30,1.0,4.0
mixed,max_harvest_per_step,6.0,0.8,30,1.0,4.0
mixed,max_harvest_per_step,8.0,0.05,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.1,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.15,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.2,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.25,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.3,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.35,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.4,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.45,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.5,30,1.0,2.0
mixed,max_harvest_per_step,8.0,0.55,30,1.0,2.0
