agent_type,y_param,y_value,regen_rate,n_trials,collapse_prob,mean_collapse_time
greedy,max_harvest_per_step,1.0,0.75,50,0.0,
greedy,max_harvest_per_step,1.0,0.76,50,0.0,
greedy,max_harvest_per_step,1.0,0.77,50,0.0,
greedy,max_harvest_per_step,1.0,0.78,50,0.0,
greedy,max_harvest_per_step,1.0,0.79,50,0.0,
greedy,max_harvest_per_step,1.0,0.8,50,0.0,
greedy,max_harvest_per_step,1.0,0.81,50,0.0,
greedy,max_harvest_per_step,1.0,0.82,50,0.0,
greedy,max_harvest_per_step,1.0,0.83,50,0.0,
greedy,max_harvest_per_step,1.0,0.84,50,0.0,
greedy,max_harvest_per_step,1.0,0.85,50,0.0,
greedy,max_harvest_per_step,1.0,0.86,50,0.0,
greedy,max_harvest_per_step,1.0,0.87,50,0.0,
greedy,max_harvest_per_step,1.0,0.88,50,0.0,
greedy,max_harvest_per_step,1.0,0.89,50,0.0,
greedy,max_harvest_per_step,1.0,0.9,50,0.0,
greedy,max_harvest_per_step,1.0,0.91,50,0.0,
greedy,max_harvest_per_step,1.0,0.92,50,0.0,
greedy,max_harvest_per_step,1.0,0.93,50,0.0,
greedy,max_harvest_per_step,1.0,0.94,50,0.0,
greedy,max_harvest_per_step,1.0,0.95,50,0.0,
greedy,max_harvest_per_step,1.0,0.96,50,0.0,
greedy,max_harvest_per_step,1.0,0.97,50,0.0,
greedy,max_harvest_per_step,1.0,0.98,50,0.0,
greedy,max_harvest_per_step,1.0,0.99,50,0.0,
greedy,max_harvest_per_step,1.0,1.0,50,0.0,
greedy,max_harvest_per_step,1.0,1.01,50,0.0,
greedy,max_harvest_per_step,1.0,1.02,50,0.0,
greedy,max_harvest_per_step,1.0,1.03,50,0.0,
greedy,max_harvest_per_step,1.0,1.04,50,0.0,
greedy,max_harvest_per_step,1.0,1.05,50,0.0,
greedy,max_harvest_per_step,1.0,1.06,50,0.0,
greedy,max_harvest_per_step,1.0,1.07,50,0.0,
greedy,max_harvest_per_step,1.0,1.08,50,0.0,
greedy,max_harvest_per_step,1.0,1.09,50,0.0,
greedy,max_harvest_per_step,1.0,1.1,50,0.0,
greedy,max_harvest_per_step,1.0,1.11,50,0.0,
greedy,max_harvest_per_step,1.0,1.12,50,0.0,
greedy,max_harvest_per_step,1.0,1.13,50,0.0,
greedy,max_harvest_per_step,1.0,1.14,50,0.0,
greedy,max_harvest_per_step,1.0,1.15,50,0.0,
greedy,max_harvest_per_step,1.0,1.16,50,0.0,
greedy,max_harvest_per_step,1.0,1.17,50,0.0,
greedy,max_harvest_per_step,1.0,1.18,50,0.0,
greedy,max_harvest_per_step,1.0,1.19,50,0.0,
greedy,max_harvest_per_step,1.0,1.2,50,0.0,
greedy,max_harvest_per_step,2.0,0.75,50,1.0,26.0
greedy,max_harvest_per_step,2.0,0.76,50,1.0,30.0
greedy,max_harvest_per_step,2.0,0.77,50,1.0,35.0
greedy,max_harvest_per_step,2.0,0.78,50,1.0,44.0
greedy,max_harvest_per_step,2.0,0.79,50,1.0,65.0
greedy,max_harvest_per_step,2.0,0.8,50,0.0,
greedy,max_harvest_per_step,2.0,0.81,50,0.0,
greedy,max_harvest_per_step,2.0,0.82,50,0.0,
greedy,max_harvest_per_step,2.0,0.83,50,0.0,
greedy,max_harvest_per_step,2.0,0.84,50,0.0,
greedy,max_harvest_per_step,2.0,0.85,50,0.0,
greedy,max_harvest_per_step,2.0,0.86,50,0.0,
greedy,max_harvest_per_step,2.0,0.87,50,0.0,
greedy,max_harvest_per_step,2.0,0.88,50,0.0,
greedy,max_harvest_per_step,2.0,0.89,50,0.0,
greedy,max_harvest_per_step,2.0,0.9,50,0.0,
greedy,max_harvest_per_step,2.0,0.91,50,0.0,
greedy,max_harvest_per_step,2.0,0.92,50,0.0,
greedy,max_harvest_per_step,2.0,0.93,50,0.0,
greedy,max_harvest_per_step,2.0,0.94,50,0.0,
greedy,max_harvest_per_step,2.0,0.95,50,0.0,
greedy,max_harvest_per_step,2.0,0.96,50,0.0,
greedy,max_harvest_per_step,2.0,0.97,50,0.0,
greedy,max_harvest_per_step,2.0,0.98,50,0.0,
greedy,max_harvest_per_step,2.0,0.99,50,0.0,
greedy,max_harvest_per_step,2.0,1.0,50,0.0,
greedy,max_harvest_per_step,2.0,1.01,50,0.0,
greedy,max_harvest_per_step,2.0,1.02,50,0.0,
greedy,max_harvest_per_step,2.0,1.03,50,0.0,
greedy,max_harvest_per_step,2.0,1.04,50,0.0,
greedy,max_harvest_per_step,2.0,1.05,50,0.0,
greedy,max_harvest_per_step,2.0,1.06,50,0.0,
greedy,max_harvest_per_step,2.0,1.07,50,0.0,
greedy,max_harvest_per_step,2.0,1.08,50,0.0,
greedy,max_harvest_per_step,2.0,1.09,50,0.0,
greedy,max_harvest_per_step,2.0,1.1,50,0.0,
greedy,max_harvest_per_step,2.0,1.11,50,0.0,
greedy,max_harvest_per_step,2.0,1.12,50,0.0,
