agent_type,y_param,y_value,regen_rate,n_trials,collapse_prob,mean_collapse_time
greedy,max_harvest_per_step,2.0,0.05,3,1.0,5.0
greedy,max_harvest_per_step,2.0,0.07,3,1.0,5.0
greedy,max_harvest_per_step,2.0,0.09,3,1.0,5.0
greedy,max_harvest_per_step,2.0,0.11,3,1.0,5.0
greedy,max_harvest_per_step,2.0,0.13,3,1.0,5.0
greedy,max_harvest_per_step,2.0,0.15,3,1.0,5.0
greedy,max_harvest_per_step,4.0,0.05,3,1.0,2.0
greedy,max_harvest_per_step,4.0,0.07,3,1.0,2.0
greedy,max_harvest_per_step,4.0,0.09,3,1.0,2.0
greedy,max_harvest_per_step,4.0,0.11,3,1.0,2.0
greedy,max_harvest_per_step,4.0,0.13,3,1.0,2.0
greedy,max_harvest_per_step,4.0,0.15,3,1.0,2.0
greedy,max_harvest_per_step,6.0,0.05,3,1.0,1.0
greedy,max_harvest_per_step,6.0,0.07,3,1.0,1.0
greedy,max_harvest_per_step,6.0,0.09,3,1.0,1.0
greedy,max_harvest_per_step,6.0,0.11,3,1.0,1.0
greedy,max_harvest_per_step,6.0,0.13,3,1.0,1.0
greedy,max_harvest_per_step,6.0,0.15,3,1.0,1.0
greedy,max_harvest_per_step,8.0,0.05,3,1.0,1.0
greedy,max_harvest_per_step,8.0,0.07,3,1.0,1.0
greedy,max_harvest_per_step,8.0,0.09,3,1.0,1.0
greedy,max_harvest_per_step,8.0,0.11,3,1.0,1.0
greedy,max_harvest_per_step,8.0,0.13,3,1.0,1.0
greedy,max_harvest_per_step,8.0,0.15,3,1.0,1.0
greedy,max_harvest_per_step,10.0,0.05,3,1.0,0.0
greedy,max_harvest_per_step,10.0,0.07,3,1.0,0.0
greedy,max_harvest_per_step,10.0,0.09,3,1.0,0.0
greedy,max_harvest_per_step,10.0,0.11,3,1.0,0.0
greedy,max_harvest_per_step,10.0,0.13,3,1.0,0.0
greedy,max_harvest_per_step,10.0,0.15,3,1.0,0.0
