agent_type,regen_rate,n_trials,collapse_prob,mean_collapse_time,mean_final_R,mean_min_R,mean_avg_R,mean_final_gini_wealth,mean_final_total_wealth
greedy,0.02,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.04,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.06,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.08,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.1,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.12,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.14,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.16,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.18,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.2,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.22,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.24,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.26,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.28,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
greedy,0.3,30,1.0,0.0,0.0,0.0,0.0,0.0,120.0
