agent_type,regen_rate,n_trials,collapse_prob,mean_collapse_time,mean_final_R,mean_min_R,mean_avg_R,mean_final_gini_wealth,mean_final_total_wealth
coop,0.05,3,0.0,,60.0,60.0,60.0,0.0,14.566787203484685
coop,0.06,3,0.0,,60.0,60.0,60.0,0.0,14.566787203484685
coop,0.07,3,0.0,,60.0,60.0,60.0,0.0,14.566787203484685
coop,0.08,3,0.0,,60.0,60.0,60.0,0.0,14.566787203484685
coop,0.09,3,0.0,,60.0,60.0,60.0,0.0,14.566787203484685
coop,0.1,3,0.0,,60.0,60.0,60.0,0.0,14.566787203484685
greedy,0.05,3,1.0,1.0,0.0,0.0,10.333333333333334,0.0,100.66666666666667
greedy,0.06,3,1.0,1.0,0.0,0.0,10.4,0.0,100.8
greedy,0.07,3,1.0,1.0,0.0,0.0,10.466666666666667,0.0,100.93333333333334
greedy,0.08,3,1.0,1.0,3.836930773104541e-15,3.836930773104541e-15,10.533333333333335,0.0,101.06666666666666
greedy,0.09,3,1.0,1.0,0.0,0.0,10.6,0.0,101.2
greedy,0.1,3,1.0,1.0,0.0,0.0,10.666666666666666,0.0,101.33333333333333
mixed,0.05,3,1.0,3.0,0.0,0.0,15.6471536077772,0.30997055403095586,99.8111367204775
mixed,0.06,3,1.0,3.0,0.0,0.0,15.779915156699508,0.30946681531209363,100.09491038816877
mixed,0.07,3,1.0,3.0,0.0,0.0,15.913793172010188,0.30897200890440213,100.38231973899919
mixed,0.08,3,1.0,3.0,0.0,0.0,16.048790667494185,0.30848631234725343,100.67334972003145
mixed,0.09,3,1.0,3.0,0.0,0.0,16.18491082996975,0.30800990274220186,100.96798571741378
mixed,0.1,3,1.0,3.0,0.0,0.0,16.32215701492018,0.3075429567298982,101.2662135394766
